Project Id,Bid,Status,
486950,Bid[1],Project Loading Failed,
486958,Bid[1],Project Loading Failed,
487860,Bid[1],Project Loading Failed,
487285,Bid[1],Project Loading Failed,
486965,Bid[1],Project Loading Failed,
487237,Bid[1],Project Loading Failed,
487204,Bid[1],Project Loading Failed,
487971,Bid[1],Project Loading Failed,
486929,Bid[1],Project Loading Failed,
486909,Bid[1],Project Loading Failed,
487376,Bid[1],Project Loading Failed,
487261,Bid[1],Project Loading Failed,
486939,Bid[1],Project Loading Failed,
487046,Bid[1],Project Loading Failed,
486902,Bid[1],Project Loading Failed,
487763,Bid[1],Project Loading Failed,
487238,Bid[1],Project Loading Failed,
487533,Bid[1],Project Loading Failed,
486942,Bid[1],Project Loading Failed,
487831,Bid[1],Project Loading Failed,
487591,Bid[1],Project Loading Failed,
487312,Bid[1],Project Loading Failed,
487952,Bid[1],Project Loading Failed,
486937,Bid[1],Project Loading Failed,
486908,Bid[1],Project Loading Failed,
486906,Bid[1],Project Loading Failed,
486936,Bid[1],Project Loading Failed,
486927,Bid[1],Project Loading Failed,
487744,Bid[1],Project Loading Failed,
486890,Bid[1],Project Loading Failed,
486900,Bid[1],Project Loading Failed,
487729,Bid[1],Project Loading Failed,
486883,Bid[1],Project Loading Failed,
486879,Bid[1],Project Loading Failed,
487770,Bid[1],Project Loading Failed,
487322,Bid[1],Project Loading Failed,
486913,Bid[1],Project Loading Failed,
487162,Bid[1],Project Loading Failed,
486884,Bid[1],Project Loading Failed,
487034,Bid[1],Project Loading Failed,
487687,Bid[1],Project Loading Failed,
487040,Bid[1],Project Loading Failed,
486921,Bid[1],Project Loading Failed,
486917,Bid[1],Project Loading Failed,
487465,Bid[1],Project Loading Failed,
486914,Bid[1],Project Loading Failed,
486876,Bid[1],Project Loading Failed,
486889,Bid[1],Project Loading Failed,
486923,Bid[1],Project Loading Failed,
486926,Bid[1],Project Loading Failed,
486922,Bid[1],Project Loading Failed,
487673,Bid[1],Project Loading Failed,
486882,Bid[1],Project Loading Failed,
487700,Bid[1],Project Loading Failed,
486857,Bid[1],Project Loading Failed,
487022,Bid[1],Project Loading Failed,
487340,Bid[1],Project Loading Failed,
487624,Bid[1],Project Loading Failed,
487586,Bid[1],Project Loading Failed,
486852,Bid[1],Project Loading Failed,
486853,Bid[1],Project Loading Failed,
487957,Bid[1],Project Loading Failed,
487315,Bid[1],Project Loading Failed,
486847,Bid[1],Project Loading Failed,
487421,Bid[1],Project Loading Failed,
486860,Bid[1],Project Loading Failed,
486845,Bid[1],Project Loading Failed,
